"","S","N","H","J","inv.D"
"BAST.BC3.1.2023",900,24788,5.8749996990168,0.863666385651765,128.017097699653
"BAST.BC3.2.2023",1466,84001,5.8602983047315,0.803849502239038,85.7128186894295
"BAST.BC3.3.2023",753,130213,2.30636895372262,0.348180290260918,2.27469297482019
"BAST.BC3.4.2023",1741,101811,5.98705469624071,0.802316034121994,98.5071045519324
"BAST.BC3.5.2023",1327,96300,5.43127075991472,0.755321298579282,67.0971018972503
"BAST.BC4.1.2023",544,48085,2.99840189869157,0.476016202255987,5.00778589411903
"BAST.BC4.1.2024",204,32654,2.0750262963304,0.390180420662239,3.97154494876837
"BAST.BC4.2.2023",345,48195,3.46163744363382,0.592386605900464,16.3325404206214
"BAST.BC4.2.2024",152,24480,2.03736749150934,0.405536613192811,3.88871483728627
"BAST.BC4.3.2023",572,53787,4.02707069196097,0.634270362867864,16.9757108571157
"BAST.BC4.5.2023",502,51319,3.19718279646149,0.514132237951326,6.01742073437668
"BAST.BC4.6.2024",203,44438,2.00672873931841,0.377686983571512,3.88638583663358
"BAST.BC5.1.2023",1385,91260,5.58826031795896,0.772557511528008,72.6634906544512
"BAST.BC5.2.2023",726,81373,3.7340716855148,0.56683769794712,11.8557993974284
"BAST.BC5.3.2023",477,75804,3.25338388791247,0.527503070760962,6.42077042360882
"BAST.BC5.4.2023",956,73971,4.97745289629647,0.725284639114326,37.7144749495254
"BAST.BC5.5.2023",1340,79222,5.72152956910944,0.794609992351347,92.9482021975798
"BAST.BC6.1.2023",1406,90730,5.75412462206237,0.793836157724678,71.0143415114767
"BAST.BC6.2.2023",232,63081,2.37352637927164,0.435770300146768,5.57884190648441
"BAST.BC6.2.2024",423,43901,3.36683188860595,0.556742960235156,7.14892569380796
"BAST.BC6.3.2023",391,134821,1.95824981170851,0.328086070900298,3.56277422816445
"BAST.BC6.4.2024",191,67911,1.38822085261285,0.264308564973006,2.01321423785159
"BAST.BC6.5.2023",279,43638,2.93716805838555,0.521587212874375,9.63306112332505
"BAST.BC6.5.2024",545,64807,3.04356963462874,0.483046041210707,4.40583377798283
"BAST.DC1.1.2023",2147,129638,6.22140827818547,0.810942223031633,145.071913479672
"BAST.DC1.1.2024",591,35647,3.93387708428481,0.616419695202015,9.9841816104595
"BAST.DC1.2.2024",816,55117,4.69037736010195,0.699595387720791,29.7793975691298
"BAST.DC1.3.2023",334,61007,2.53956761133853,0.437017035795179,6.55272889738504
"BAST.DC1.4.2023",504,35205,4.29310380207199,0.689923854224224,20.7714744347408
"BAST.DC1.4.2024",272,41260,2.14698755775199,0.382993821822645,3.55404409970374
"BAST.DC1.5.2023",801,109889,2.86979192603994,0.429232966219301,5.81226445819524
"BAST.DC3.1.2024",106,13501,1.90392815690919,0.408266971753322,2.91394928458634
"BAST.DC3.2.2023",803,74732,3.53022932361536,0.527817299560088,4.86317882019026
"BAST.DC3.2.2024",913,61883,5.02671230401359,0.737407520558778,26.6393548284098
"BAST.DC3.3.2023",1294,67440,5.50325099318211,0.768021213379917,67.5323823764609
"BAST.DC3.3.2024",1112,53420,5.39388987474639,0.769026928556207,27.5141863061306
"BAST.DC3.4.2024",1107,63505,5.16534789045159,0.73691632775883,37.4513579308817
"BAST.DC3.5.2023",1237,86792,5.11065970916739,0.717744489231955,32.9384039858486
"BAST.DC3.5.2024",1026,48468,5.58082374613567,0.804916089127203,53.5349136774488
"BC.Br1.2024",603,26852,5.06832630712451,0.791688825609235,50.0695809148507
"BC.Br2.2024",386,25032,3.46487880973931,0.581761823703163,7.32354628954057
"BC.Br3.2024",557,21004,5.15788075856281,0.815789250538779,65.9272303086401
