sample id,old_id,Year,Site,SPP,Depth,Region,Morphology
BC3_B1_2024,BC3_B1,2023,BC3,SW,20,BC,na
BC3_B2_2024,BC3_B2,2023,BC3,SW,20,BC,na
BC3_3_2024,BC3_3,2023,BC3,SW,20,BC,na
BC3_4_2024,BC3_4,2023,BC3,SW,20,BC,na
BC4_SW_2024,BC4_SW,2024,BC4,SW,10,BC,na
BC6_SW_2024,BC6_SW,2024,BC6,SW,16,BC,na
DCp_SW_2024,DCp_SW,2024,DCp,SW,6,DC,na
DC1_SW_2024,DC1_SW,2024,DC3,SW,8,DC,na
DC3_SW_2024,DC3_SW,2024,DC3,SW,16,DC,na
BC_Br1_2024,BC_Br1,2024,Barracuda,BAST,6,BC,Encrusting
BC_Br2_2024,BC_Br2,2024,Barracuda,BAST,6,BC,Encrusting
BC_Br3_2024,BC_Br3,2024,Barracuda,BAST,6,BC,Encrusting
BC_Br4_2024,BC_Br4,2024,Barracuda,BAST,6,BC,Encrusting
BC_Br6_2024,BC_Br6,2024,Barracuda,BAST,6,BC,Encrusting
BAST_DC1_1_2024,BAST_DC1.1,2024,DC1,BAST,8,DC,Encrusting
BAST_DC1_2_2024,BAST_DC1.2,2024,DC1,BAST,8,DC,Encrusting
BAST_DC1_4_2024,BAST_DC1.4,2024,DC1,BAST,8,DC,Encrusting
BAST_BC4_1_2024,BAST_BC4.1,2024,BC4,BAST,10,BC,Encrusting
BAST_BC4_2_2024,BAST_BC4.2,2024,BC4,BAST,10,BC,Encrusting
BAST_BC4_6_2024,BAST_BC4.6,2024,BC4,BAST,10,BC,Encrusting
BAST_BC6_2_2024,BAST_BC6.2,2024,BC6,BAST,10,BC,Encrusting
BAST_BC6_4_2024,BAST_BC6.4,2024,BC6,BAST,10,BC,Encrusting
BAST_BC6_5_2024,BAST_BC6.5,2024,BC6,BAST,10,BC,Encrusting
BAST_DC3_1_2024,BAST_DC3.1,2024,DC3,EFLE,16,DC,Branching
BAST_DC3_2_2024,BAST_DC3.2,2024,DC3,BAST,16,DC,Encrusting
BAST_DC3_3_2024,BAST_DC3.3,2024,DC3,BAST,16,DC,Encrusting
BAST_DC3_4_2024,BAST_DC3.4,2024,DC3,ECAR,16,DC,Encrusting
BAST_DC3_5_2024,BAST_DC3.5,2024,DC3,BAST,16,DC,Encrusting
ECAR_DC1_1_2024,ECAR_DC1.1,2024,DC1,ECAR,8,DC,Encrusting
ECAR_DC1_2_2024,ECAR_DC1.2,2024,DC1,ECAR,8,DC,Encrusting
ECAR_DC1_3_2024,ECAR_DC1.3,2024,DC1,ECAR,8,DC,Encrusting
ECAR_DC1_4_2024,ECAR_DC1.4,2024,DC1,ECAR,8,DC,Encrusting
ECAR_DC1_5_2024,ECAR_DC1.5,2024,DC1,ECAR,8,DC,Encrusting
ECAR_BC4_1_2024,ECAR_BC4.1,2024,BC4,ECAR,10,BC,Encrusting
ECAR_BC4_2_2024,ECAR_BC4.2,2024,BC4,ECAR,10,BC,Encrusting
ECAR_BC4_3_2024,ECAR_BC4.3,2024,BC4,ECAR,10,BC,Encrusting
MMUR_DC3_4_2024,MMUR_DC3.4,2024,DC3,MMUR,16,DC,Branching
ECAR_BC4_4_2024,ECAR_BC4.4,2024,BC4,ECAR,8,BC,Encrusting
ECAR_BC4_5_2024,ECAR_BC4.5,2024,BC4,ECAR,8,BC,Encrusting
ECAR_BC4_6_2024,ECAR_BC4.6,2024,BC4,ECAR,8,BC,Encrusting
ECAR_BC6_1_2024,ECAR_BC6.1,2024,BC6,ECAR,16,BC,Encrusting
ECAR_BC6_2_2024,ECAR_BC6.2,2024,BC6,ECAR,16,BC,Encrusting
ECAR_BC6_3_2024,ECAR_BC6.3,2024,BC6,ECAR,16,BC,Encrusting
EFLE_BC4_2_2024,EFLE_BC4.2,2024,BC4,EFLE,10,BC,Branching
EFLE_BC4_3_2024,EFLE_BC4.3,2024,BC4,EFLE,10,BC,Branching
EFLE_BC4_4_2024,EFLE_BC4.4,2024,BC4,EFLE,10,BC,Branching
